,metabolites
1507,doco13ac
1508,doco13ecoa
1509,docohepcoa
1510,docohexcoa
1511,docohxeth
1512,docosac
1513,docosahexcoa
1514,docoscoa
1515,docosdiac
1516,docteteth
1517,dodecanac
1518,doldp__L
1519,dolglcp__L
1520,dolichol_U
1521,dolichol__L
1522,dolmanp_U
1523,dolp_U
1524,dolp__L
1525,dopa
1526,dopa3glcur
1527,dopa4glcur
1528,dopa4sf
1529,dopaqn
1530,dopasf
1531,dpcoa
1532,drib
1533,dsT_antigen
1534,dsmsterol
1535,dspvs
1536,dtdp
1537,dtmp
1538,dttp
1539,dudp
1540,dump
1541,duri
1542,dutp
1543,dxtrn
1544,e4hglu
1545,e4p
1546,eaflatoxin
1547,eandrstrn
1548,ebastine
1549,ebastineoh
1550,egme
1551,ei11ecoa
1552,eic21114tr
1553,eicostet
1554,eicostetcoa
1555,eicostetcrn
1556,eidi1114ac
1557,eipencoa
1558,eitetcoa
1559,elaid
1560,elaidcrn
1561,em2emgacpail_hs
1562,em2emgacpail_prot_hs
1563,em3gacpail_hs
1564,emem2gacpail_hs
1565,emgacpail_hs
1566,epoxtac
1567,estradiol
1568,estradiolglc
1569,estriol
1570,estriolglc
1571,estrone
1572,estroneglc
1573,estrones
1574,etfox
1575,etfrd
1576,etha
1577,ethamp
1578,ethmalac
1579,ethmalcoa
1580,etoh
1581,f1a
1582,f1p
1583,f26bp
1584,f6p
1585,fad
1586,fadh2
1587,fald
1588,fdp
1589,fe2
1590,fe3
1591,fgam
1592,ficytC
1593,fmn
1594,fna5moxam
1595,focytC
1596,fol
1597,for
1598,forcoa
1599,forglu
1600,fpram
1601,fprica
1602,frdp
1603,fru
1604,fuc12gal14acglcgalgluside_hs
1605,fuc132galacglcgal14acglcgalgluside_hs
1606,fuc13galacglcgal14acglcgalgluside_hs
1607,fuc14galacglcgalgluside_hs
1608,fuc1p__L
1609,fuc__L
1610,fucacgalfucgalacglcgalgluside_hs
1611,fucacngal14acglcgalgluside_hs
1612,fucacngalacglcgalgluside_hs
1613,fucfuc12gal14acglcgalgluside_hs
1614,fucfuc132galacglcgal14acglcgalgluside_hs
1615,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs
1616,fucfucfucgalacglcgal14acglcgalgluside_hs
1617,fucfucgalacglc13galacglcgal14acglcgalgluside_hs
1618,fucfucgalacglcgal14acglcgalgluside_hs
1619,fucfucgalacglcgalacglcgal14acglcgalgluside_hs
1620,fucfucgalacglcgalgluside_hs
1621,fucgal14acglcgalgluside_hs
1622,fucgalacgalfuc12gal14acglcgalgluside_hs
1623,fucgalacgalfucgalacglcgal14acglcgalgluside_hs
1624,fucgalacglc13galacglcgal14acglcgalgluside_hs
1625,fucgalacglcgal14acglcgalgluside_hs
1626,fucgalacglcgalgluside_hs
1627,fucgalfucgalacglcgalgluside_hs
1628,fucgalgbside_hs
1629,fum
1630,fvs
1631,fvscoa
1632,fvsgluc
1633,fvstet
1634,fvstetglu
1635,g1p
1636,g3p
1637,g3pc
1638,g6p
1639,ga1_hs
1640,ga2_hs
1641,gacpail_hs
1642,gal
1643,gal14acglcgalgluside_hs
1644,gal1p
1645,galacgalfuc12gal14acglcgalgluside_hs
1646,galacgalfucgalacglcgal14acglcgalgluside_hs
1647,galacglc13galacglcgal14acglcgalgluside_hs
1648,galacglcgal14acglcgalgluside_hs
1649,galacglcgalacglcgal14acglcgalgluside_hs
1650,galacglcgalgbside_hs
1651,galacglcgalgluside_hs
1652,galam
1653,galfuc12gal14acglcgalgluside_hs
1654,galfucgalacglcgal14acglcgalgluside_hs
1655,galfucgalacglcgalgluside_hs
1656,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs
1657,galgalgalthcrm_hs
1658,galgalthcrm_hs
1659,galgbside_hs
1660,galgluside_hs
1661,galside_hs
1662,galt
